btb_no,gtip_no,gecerlilik_baslangic_tarihi,siniflandirma_gerekcesi,esya_tanimi
TR340000250206,630790980019,28/11/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.07 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 03.11.2025/ 3425BTB3055 tarih/sayılı Analiz Raporu","7552 KODLU, ANALİZ RAPORUNA GÖRE KARTON İSKELET ÜZERİNE POLİPROPİLENDEN MAMUL, DOKUNMAMIŞ MENSUCATTAN OLUŞAN, 31X25X12 CM BOYUTLARINDA ÇEKMECE İÇİ DÜZENLEYİCİ ORGANİZERİ TİCARİ TANIMLI EŞYA"
TR340000250161,630790980019,20/08/2025,"Genel Yorum Kurallarının 1ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.07 Tarife Pozisyonu Açıklama Notları, , İstanbul Laboratuvar Müdürlüğünün 31.07.2025 tarih ve 3425BTB2155 sayılı Analiz Raporu","KOTON MARKA 5SAK70799AA ITEM NUMARALI, İÇ KISMI POLYESTER ELYAF DOLGULU, DIŞ KISMI BİRBİRİNE DİKİLEREK TUTTURULMUŞ PLASTİK KAPLI DOKUNMAMIŞ MENSUCATTAN 3 KATMANDAN VE HALKA KISMINDA PLASTİK BONCUKTAN OLUŞAN 2 ADET ÇİNKODAN MAMUL HALKAYA ZİNCİR İLE TUTTURULAN ÇANTALARDA SÜS AKSESUAR OLARAK KULLANILAN ÇANTA AKSESUARI"
TR340000250104,630790980019,28/04/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 63.07 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 3424BTB0737/15.04.2024 sayı tarihli Analiz Raporu Gümrükler Genel Müdürlüğü 27.03.2025 tarih 107698810 sayılı yazıları","50552273 KODLU, 78X185CM BOYUTLARINDA, KATLANABİLİR YAPIDA, ANALİZ RAPORUNA GÖRE; DOLGU KISMI GÖZENEKLİ POLİETİLENDEN (39.21 TARİFE POZİSYONLU), DIŞ YÜZEYİ PLASTİK KAPLANMIŞ DOKUNMUŞ MENSUCATTAN (59.03 TARİFE POZİSYONLU) MAMUL, 39. FASILIN 1 NOLU NOTUNDA TANIMLANAN EŞYADAN OLMAYAN, JİMNASTİK MİNDERİ TİCARİ TANIMLI EŞYA"
TR340000250076,630790100019,26/03/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 90. Faslın 1(b) ve 6 nolu notları, 63.07 ve 90.21 Tarife Pozisyonu Açıklama Notları, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6) ile yürürlüğe giren Avrupa Birliği Kombine Nomanklatürü 9021.10.10 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 22.11.2024/3424BTB2477 tarih sayılı Analiz Raporu","OTTOBOCK MARKA, 510 HALLUX VALGUS COMBO COMFORT MODEL, ANALİZ RAPORUNA GÖRE; POLİAMİDDEN MAMUL ÖRME MENSUCAT VE CIRT BANTLARDAN OLUŞAN, AYAK BAŞPARMAĞI VE AYAK BİLEĞİNDE KULLANILMAK ÜZERE TASARLANMIŞ, ÜZERİNDE HAREKETİ SINIRLAYICI HERHANGİ BİR BİLEŞEN YER ALMADIĞINDAN HASARLI/KUSURLU BÖLGENİN İSTENMEYEN HAREKETİNİ TAMAMEN ENGELLEME ÖZELLİĞİ BULUNMAYAN, KULLANILDIĞI BÖLGEDE DESTEK İŞLEVİNİ YALNIZCA TEKSTİL MALZEMELERİNİN ESNEKLİĞİ İLE YERİNE GETİREBİLEN, HAZIR ORTEZ TİCARİ TANIMLI EŞYA"
TR340000250075,630790100019,26/03/2025,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 90. Faslın 1(b) ve 6 nolu notları, 63.07 ve 90.21 Tarife Pozisyonu Açıklama Notları, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6) ile yürürlüğe giren Avrupa Birliği Kombine Nomanklatürü 9021.10.10 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 22.11.2024/3424BTB2480 tarih sayılı Analiz Raporu","OTTOBOCK MARKA, 8320N PATELLA PRO MODEL, ANALİZ RAPORUNA GÖRE; ÖRME KISMI POLİAMİD, İKİ TARAFINDA AYARLANABİLİR PLASTİK MEKANİZMASI OLAN, İKİ YANDAN DESTEĞİ BULUNAN, ÖRME MENSUCATTAN MAMUL, PATELLA DOKUSU ALTINDA VE ÇEVRESİNDE MEYDANA GELEN AĞRININ GİDERİLMESİ AMACIYLA DİZ BÖLGESİNDE KULLANILMAK ÜZERE TASARLANMIŞ, ÜZERİNDE HAREKETİ SINIRLAYICI HERHANGİ BİR BİLEŞEN YER ALMADIĞINDAN HASARLI/KUSURLU BÖLGENİN İSTENMEYEN HAREKETİNİ TAMAMEN ENGELLEME ÖZELLİĞİ BULUNMAYAN, KULLANILDIĞI BÖLGEDE DESTEK İŞLEVİNİ YALNIZCA TEKSTİL MALZEMELERİNİN ESNEKLİĞİ İLE YERİNE GETİREBİLEN, HAZIR ORTEZ TİCARİ TANIMLI EŞYA"
TR340000250074,630790100019,26/03/2025,"Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 90. Faslın 1(b) ve 6 nolu notları, 63.07 ve 90.21 Tarife Pozisyonu Açıklama Notları, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6) ile yürürlüğe giren Avrupa Birliği Kombine Nomanklatürü 9021.10.10 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 22.11.2024/3424BTB2478 tarih sayılı Analiz Raporu","OTTOBOCK MARKA, 50S3 MALLEO SPRINT MODEL, ANALİZ RAPORUNA GÖRE; ÖN TARAFINDA BAĞCIKLARI BULUNAN, İKİ TARAFI PLASTİK PARÇALAR VE ÖRME MENSUCATTAN YAPILMIŞ, AYAK BÖLGESİNDE KULLANILMAK ÜZERE TASARLANMIŞ, ÜZERİNDE HAREKETİ SINIRLAYICI HERHANGİ BİR BİLEŞEN YER ALMADIĞINDAN HASARLI/KUSURLU BÖLGENİN İSTENMEYEN HAREKETİNİ TAMAMEN ENGELLEME ÖZELLİĞİ BULUNMAYAN, KULLANILDIĞI BÖLGEDE DESTEK İŞLEVİNİ YALNIZCA TEKSTİL MALZEMELERİNİN ESNEKLİĞİ İLE YERİNE GETİREBİLEN, HAZIR ORTEZ TİCARİ TANIMLI EŞYA"
TR340000240260,630790100019,31/12/2024,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 90. Faslın 1(b) ve 6 nolu notları, 63.07 ve 90.21 Tarife Pozisyonu Açıklama Notları, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6) ile yürürlüğe giren Avrupa Birliği Kombine Nomanklatürü 9021.10.10 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 22.11.2024/3424BTB2481 tarih sayılı Analiz Raporu","OTTOBOCK MARKA, 5065N OMO NEUREXA PLUS MODEL, ANALİZ RAPORUNA GÖRE; ÖRME MENSUCATTAN PARÇALARI BULUNAN VE ÖRME KISMI POLİAMİD OLAN, CIRT BANTLARLA BİRBİRİNE BAĞLANMIŞ, OMUZ BÖLGESİNDE KULLANILMAK ÜZERE TASARLANMIŞ, ÜZERİNDE HAREKETİ SINIRLAYICI HERHANGİ BİR BİLEŞEN YER ALMADIĞINDAN HASARLI/KUSURLU BÖLGENİN İSTENMEYEN HAREKETİNİ TAMAMEN ENGELLEME ÖZELLİĞİ BULUNMAYAN, KULLANILDIĞI BÖLGEDE DESTEK İŞLEVİNİ YALNIZCA TEKSTİL MALZEMELERİNİN ESNEKLİĞİ İLE YERİNE GETİREBİLEN, HAZIR ORTEZ TİCARİ TANIMLI EŞYA"
TR340000240259,630790100019,31/12/2024,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesinin 90. Faslın 1(b) ve 6 nolu notları, 63.07 ve 90.21 Tarife Pozisyonu Açıklama Notları, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6) ile yürürlüğe giren Avrupa Birliği Kombine Nomanklatürü 9021.10.10 Tarife Pozisyonu Açıklama Notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 22.11.2024/3424BTB2479 tarih sayılı Analiz Raporu","OTTOBOCK MARKA, 50S9 MALLEO DİREXA STİRRUP MODEL, ANALİZ RAPORUNA GÖRE; POLYESTER ÖRME MENSUCATTAN MAMUL CIRT BANTLARLA BİRBİRİNE BAĞLANMIŞ İKİ ADET YUMUŞAK PED VE İKİ ADET SERT PLASTİK PARÇADAN OLUŞAN, AYAK BÖLGESİNDE KULLANILMAK ÜZERE TASARLANMIŞ, ÜZERİNDE HAREKETİ SINIRLAYICI HERHANGİ BİR BİLEŞEN YER ALMADIĞINDAN HASARLI/KUSURLU BÖLGENİN İSTENMEYEN HAREKETİNİ TAMAMEN ENGELLEME ÖZELLİĞİ BULUNMAYAN, KULLANILDIĞI BÖLGEDE DESTEK İŞLEVİNİ YALNIZCA TEKSTİL MALZEMELERİNİN ESNEKLİĞİ İLE YERİNE GETİREBİLEN, HAZIR ORTEZ TİCARİ TANIMLI EŞYA"
TR340000240100,630790100019,11/06/2024,"GÜMRÜK TARİFE CETVELİ İZAHNAMESİ, GENEL YORUM KURALLARI (1),(6) , TGTC İZAHNAMESİ 63.07 TARİFE POZİSYONU AÇIKLAMA NOTLARI, İSTANBUL LABORATUVAR MÜDÜRLÜĞÜNÜN 13.05.2024/3424BTB0999 TARİH/SAYILI RAPORU","KAPI STOPERİ TİCARİ TANIMLI, 4911293 MODEL NUMARALI, TOPLAM AĞIRLIĞI 996 GRAM, BAŞ BÖLGESİ HARİÇ UZUNLUK 20 CM, BAŞ BÖLGESİ DAHİL UZUNLUK 29 CM, KULAK DAHİL BOYU 24 CM OLAN DIŞ YÜZÜ SENTETİK LİFLERDEN ÖRME UZUN TÜYLÜ MENSUCATTAN MAMUL, ÜZERİNDE YAKLAŞIK 17X7 CM EBATINDA DOKUNMUŞ MENSUCAT BULANAN, İÇİ SENTETİK ELYAF (POLYESTER) VE POŞET İÇERİSİNDE 25.17 TARİFE POZİSYONLU MİNERAL MADDELER İLE DOLDURULMUŞ, LAMA HAYVAN FİGÜRÜ ŞEKLİNDE, DOLGUSU VE AĞIRLIĞI NEDENİYLE ÇOCUKLARIN EĞLENCELİ VAKİT GEÇİRMESİ İÇİN DEĞİL KAPI DURDURUCU OLARAK KULLANILMAK ÜZERE TASARLANMIŞ TEKSTİL EŞYASI."
TR340000240063,630790100019,07/05/2024,"İstanbul Laboratuvar Müdürlüğünün 20.02.2024-3424BTB0334 sayı tarihli Analiz Raporu, Gümrükler Genel Müdürlüğünün 80396651/09.12.2022 sayı tarihli yazısı, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6), Gümrük Tarife Cetveli İzahnamesi 63.07 tarife pozisyonu açıklama notları, Genel Yorum Kurallarının 1 ve 6","BESTWAY MARKA 32177 MODEL NUMARALI, RENKLİ BASKILI, İÇ VE DIŞ YÜZEYLERİ %100 POLYESTER ÖRME MESUCATTAN MAMUL, İÇ DOLGU KISMINDA POLİETİLEN GÖZENEKLİ PEDLER YER ALAN, %100 POLYESTER ÖRME MENSUCATTAN KORDON VE UCUNDA PLASTİK TOKA İLE BAĞLAMA KISMI OLAN, ÜZERİ SENTETİK MENSUCAT İLE KAPLANMIŞ, İÇİ LEVHALAR HALİNDE PVC PLASTİK MALZEME İLE DOLDURULMUŞ, ÖNDEN FERMUAR İLE KAPANAN KOLSUZ YELEK ŞEKLİNDE VÜCUDA GİYİLEBİLEN, GİYİLDİKTEN SONRA BACAK ARASINDAN GEÇİLEREK TOKA İLE KİLİTLENEN TEKSTİLDEN BİR KAYIŞI OLAN ""YÜZME YELEĞİ"" TİCARİ TANIMLI EŞYA."
TR340000240062,630790980019,07/05/2024,"İstanbul Laboratuvar Müdürlüğünün 20.02.2024-3424BTB0335 sayı tarihli Analiz Raporu, Gümrükler Genel Müdürlüğünün 80396651/09.12.2022 sayı tarihli yazısı, Gümrük Genel Tebliği (Gümrük Tarife Cetveli Açıklama Notları) (Seri No: 6), Gümrük Tarife Cetveli İzahnamesi 63.07 tarife pozisyonu açıklama notları, Genel Yorum Kurallarının 1 ve 6","BESTWAY MARKALI, 90136 MODEL NUMARALI, %100 POLİAMİD MOR RENKLİ DOKUNMUŞ MENSUCATTAN MAMUL, İÇ DOLGU KISMINDA POLİETİLEN GÖZENEKLİ KÖPÜK PEDLER YER ALAN, POLİPROPİLEN KORDON VE UCUNDA PLASTİK TOKA İLE BAĞLAMA KISMI OLAN, BİRBİRLERİNDEN AYRILMAYACAK ŞEKİLDE DİKİŞLE TUTTURULMUŞ İKİ ADET KOLLUK VE BİR ADET TEKSTİLDEN MAMUL BİR KAYIŞ VE PLASTİKTEN BİR KEMER İLE ARKADAN KİLİTLENEREK VÜCUDU SARAN BİR GÖĞÜS PEDİ OLMAK ÜZERE ÜÇ PARÇADAN OLUŞAN, ""KOLLUKLU YÜZME YELEĞİ"" TİCARİ TANIMLI EŞYA"
TR340000260073,640690509019,30/04/2026,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesi 64.06 tarife pozisyonu açıklama notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 25.02.2026/3426BTB0372 tarih/sayılı Analiz Raporu","WATSONS MARKA, 4894819889934 BARKOD NUMARALI, JEL TOPUK KORUYUCUSU TİCARİ TANIMLI, ANALİZ RAPORUNA GÖRE POLİÜRETANDAN MAMUL BİR YÜZÜ KENDİNDEN YAPIŞKANLI, OVAL ŞEKİLLİ, KULLANIM TALİMATINDA AYAKLARIN AYAKKABININ SORUNLU BÖLGELERE SÜRTÜNMESİNİ VE KAYMASINI ÖNLEME AMACIYLA AYAKKABININ İÇ KISMINA YAPIŞKAN TARAFI AŞAĞIYA BAKACAK ŞEKİLDE BASTIRILARAK KULLANILDIĞI BİLGİLERİ YER ALAN, AMBALAJINDA 1 ÇİFT OLARAK SATIŞA SUNULAN JEL TOPUK KORUYUCU TANIMLI ÜRÜN"
TR340000260075,640690509019,30/04/2026,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesi 64.06 tarife pozisyonu açıklama notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 25.02.2026/3426BTB0371 tarih/sayılı Analiz Raporu","WATSONS MARKA, 4894819889965 BARKOD NUMARALI, JEL NOKTA AYAK DESTEĞİ TİCARİ TANIMLI, ANALİZ RAPORUNA GÖRE POLİÜRETANDAN MAMUL BİR YÜZÜ KENDİNDEN YAPIŞKANLI, OVAL ŞEKİLLİ, KULLANIM TALİMATINDA AYAKLARIN AYAKKABININ SORUNLU BÖLGELERE SÜRTÜNMESİNDEN KAYNAKLANAN AĞRIYI ÖNLEME AMACIYLA AYAKKABININ İÇ KISMINA YAPIŞKAN TARAFI AŞAĞIYA BAKACAK ŞEKİLDE BASTIRILARAK KULLANILDIĞI BİLGİLERİ YER ALAN, AMBALAJINDA 4 ADET OLARAK SATIŞA SUNULAN JEL NOKTA AYAK DESTEĞİ TANIMLI ÜRÜN"
TR340000260039,640690509019,30/03/2026,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesi 64.06 tarife pozisyonu açıklama notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 25.02.2026/3426BTB0370 tarih/sayılı Analiz Raporu","WATSONS MARKA, 4894819889958 BARKOD NUMARALI, JEL AYAK DESTEĞİ TİCARİ TANIMLI, ANALİZ RAPORUNA GÖRE POLİÜRETANDAN MAMUL BİR YÜZÜ KENDİNDEN YAPIŞKANLI, BİR YÜZÜ TIRTIKLI, OVAL ŞEKİLLİ, KULLANIM TALİMATINDA AYAK TABANINDAKİ AĞRIYI HAFİFLETME VE ÖNLEME, AYAKLARIN ÖNE KAYMASINI VE PARMAKLARIN SIKIŞMASINI ENGELLEME AMACIYLA AYAKKABININ İÇ KISMINA YAPIŞKAN TARAFI AŞAĞIYA BAKACAK ŞEKİLDE BASTIRILARAK KULLANILDIĞI BİLGİLERİ YER ALAN, AMBALAJINDA 1 ÇİFT OLARAK SATIŞA SUNULAN JEL AYAK DESTEĞİ TANIMLI ÜRÜN"
TR340000260040,640690509019,30/03/2026,"Genel Yorum Kurallarının 1 ve 6'ncı maddeleri, Gümrük Tarife Cetveli İzahnamesi 64.06 tarife pozisyonu açıklama notları, İstanbul Laboratuvar Müdürlüğü tarafından tanzim edilen 25.02.03.2026/3426BTB0369 tarih/sayılı Analiz Raporu","WATSONS MARKA, 4894819889941 BARKOD NUMARALI, JEL TOPUK DESTEĞİ TİCARİ TANIMLI, ANALİZ RAPORUNA GÖRE POLİÜRETANDAN MAMUL BİR YÜZÜ KENDİNDEN YAPIŞKANLI, BİR YÜZÜ TIRTIKLI, OVAL ŞEKİLLİ, KULLANIM TALİMATINDA TOPUKLARDAKİ AĞRI VE BASKIYI HAFİFLETME İLE KAYMAYI ÖNLEME AMACIYLA AYAKKABININ İÇ KISMINA YAPIŞKAN TARAFI AŞAĞIYA BAKACAK ŞEKİLDE BASTIRILARAK KULLANILDIĞI BİLGİLERİ YER ALAN, AMBALAJINDA BİR ÇİFT OLARK SATIŞA SUNULAN JEL TOPUK DESTEK TANIMLI ÜRÜN"
TR350000240091,640690901000,24/12/2024,"Türk Gümrük Tarife Cetveli İzahnamesi'nin 6406 Tarife Pozisyonu Açıklama Notları, Tarifenin Yorumuna İlişkin Genel Kurallar 1, 3b, 6","Shimano marka SPD serisine ait SM-SH51 kodlu pedal kali. Tüm üç delikli yol bisikleti ayakkabılarıyla uyumlu olup çelikten mamuldür. Paket içerisinde 1 çift kal, 1 çift ara pul, 4 adet bağlantı vidası yer almaktadır."
TR350000240090,640690909000,24/12/2024,"Türk Gümrük Tarife Cetveli İzahnamesi'nin 6406 Tarife Pozisyonu Açıklama Notları, Tarifenin Yorumuna İlişkin Genel Kurallar 1, 3b, 6","Shimano marka SPD SL serisine ait SM SH-10 kodlu pedal kali. Tüm üç delikli yol bisikleti ayakkabılarıyla uyumlu olup metal, kauçuk ve plastik malzemeden oluşmaktadır. Paket içerisinde 1 çift kal, 6 adet bağlantı vidası ve 6 adet ara pul yer almaktadır."
TR350000230019,640690909000,29/03/2023,Türk Gümrük Tarife Cetveli İzahnamesinin 6406 pozisyonu açıklama notları ile Tarife Yorumu ile İlgili Genel Kurallar,"KM-HW-002 Model Numaralı, 0,35 mm. kalınlığında, iki farklı parçadan oluşan her bacağa ayrı ayrı olarak giyilen dışı dokunmuş mensucattan içi PVC'den mamul, su geçirmez, kasıklara kadar bacak koruyucu (hip wader without boot)"
TR340000240066,630622000000,07/05/2024,"Genel Yorum Kurallarının 1 2(a) ve 6 ıncı maddeleri, Gümrük Tarife Cetveli İzahnamesi 63.06 Tarife Pozisyonu Açıklama Notları İstanbul Laboratuvar Müdürlüğünce tanzim edilmiş 3423BTB2121 / 01.11.2023 sayı tarihli analiz raporu, Uyumu Sağlanmış (Armonize) Mal Tanımı ve Kodlama Sistemi Hakkında Uluslararası Sözleşme Uyarınca Uygulanması Gereken Ekli Sınıflandırma Görüşlerinin Yürürlüğe Konulması ile 24/2/2022 Tarihli ve 5239 Sayılı Cumhurbaşkanı Kararının Yürürlükten Kaldırılması Hakkında Karar (Karar Sayısı: 7664) (2.10.2023 t. 32327 s. 1.mük R.G.)","20532031 ARTİKEL NUMARALI, %100 POLYESTER SENTETİK FİLAMENT İPLİKLERİNDEN DOKUNMUŞ MENSUCATTAN MAMUL, BELİRLİ NOKTALARINDA BAĞLANTI KAYIŞLARI VE CIRT BANTLAR BULUNAN, ÇARDAK CİNSİ EŞYANIN ÇATI KAPLAMASI OLARAK KULLANILMAK ÜZERE TASARLANMIŞ ""HIMMELSÖ ÇARDAK TENTESİ"" TİCARİ TANIMLI EŞYA"
TR340000240046,630790980019,29/03/2024,"GENEL YORUM KURALLARININ 1 VE 6 INCI MADDELERİ, GÜMRÜK TARİFE CETVELİ İZAHNAMESİ 63.07 TARİFE POZİSYONU AÇIKLAMA NOTLARI, GÜMRÜK GENEL TEBLİĞİ (GÜMRÜK TARİFE CETVELİ AÇIKLAMA NOTLARI) (SERİ NO: 6) (30.12.2019 T. 30994 S. R.G.) 95.03 TARİFE POZİSYONU AÇIKLAMA NOTLARI VE İSTANBUL LABORATUVAR MÜDÜRLÜĞÜNÜN 20.02.2024/3424BTB0333 TARİH/SAYILI ANALİZ RAPORU.","Bestway Markalı, 32174 Model Numaralı, %100 Polyester Pembe Renkli Baskılı Dokunmuş Mensucattan Mamul, İç Dolgu Kısmında Polietilen Gözenekli Köpük Pedler Yer Alan, Polyester Kordon Ve Ucunda Plastik Toka İle Bağlama Kısmı Olan, Birbirlerinden Ayrılmayacak Şekilde Dikişle Tutturulmuş İki Adet Kolluk Ve Bir Adet Tekstilden Mamul Bir Kayış Ve Plastikten Bir Kemer İle Arkadan Kilitlenerek Vücudu Saran Bir Göğüs Pedinden Mamul, Üç Parçadan Oluşan, Üzeri Sentetik Mensucat İle Kaplanarak Dikilmiş, İçi Pvc Plastik Levhalar İle Doldurulmuş, 3 – 6 Yaş Çocukların kullanımına uygun, Güvenlik Ve Kurtarma amacıyla tasarlanmamış, Yüzme Öğrenen Kişiye Su Üzerinde batmadan Durma Özelliği Sağlayan, ""Kolluklu Yüzme Yeleği"" Ticari Tanımlı Eşya"
TR330000230003,630790980019,12/01/2023,"a. Genel yorum kuralları (1) ve (6) maddeleri , b. Türk Gümrük Tarife Cetveli İzahnamesi 6307 tarife pozisyonu açıklama notları.","MEŞEM MARKA 10mm X 90cm, DIŞ KISMI %100 SENTETİK FİLAMENTLERİN DİAGONAL DOKUMASINDAN MEYDANA GELEN MENSUCATTAN, İÇ KISMI BİR ARAYA GETİRİLMİŞ BİRDEN FAZLA KAUÇUK ŞERİTLERDEN OLUŞAN VE HER İKİ UCUNA METAL KANCALAR TAKILMIŞ OLAN EŞYADIR."
TR350000210095,630790100019,04/10/2021,"Ayak Isıtıcı (Feat Warmer) ticari tanımlı, BW-137B kodlu, örme tüylü kumaştan mamul,içi dolgulu, tabanına kaymazlık sağlayan plastik parçalar lamine edilmiş tek adet terlik şeklinde örnek olup terlik veya ayakkabı olarak kullanılmaya uygun olmayan eşyanın İzmir Laboratuvar Müdürlüğünün 3521BTB0276 sayılı 30.09.2021 tarihli analiz raporu ve Tarife Yorumu ile İlgili Genel Yorum Kurallarının 1 ve 6 ıncı maddeleri ve Gümrük Tarife Cetveli İzahnamesinin 6307 tarife pozisyonu açıklama notlarına istinaden",EV İÇERİSİNDE KULLANILAN AYAK ISITICI
